Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.5179	And	1.1014
2	DCB_int_01	1.1014	(pause 0.47)	1.5716
3	DCB_int_01	1.5716	you're from DC?	2.3860
4	DCB_se2_ag2_f_01	2.6966	[Yes.]	3.3011
5	DCB_int_01	3.1542	[Born] and raised?	3.7635
6	DCB_se2_ag2_f_01	3.7503	Yes.	4.2750
7	DCB_int_01	4.4681	Alright, what neighborhood?	5.5627
8	DCB_se2_ag2_f_01	6.5870	Southeast.	7.5525
9	DCB_int_01	7.5399	Southeast? Does it have a specific neighborhood?	9.6053
10	DCB_se2_ag2_f_01	9.7858	No, um-	10.9434
11	DCB_se2_ag2_f_01	10.9434	(pause 0.77)	11.7158
12	DCB_se2_ag2_f_01	11.7158	They kind of refer to it as Hillcrest. It's not like a neighborhood. It's more for like, older	16.2401
13	DCB_se2_ag2_f_01	16.2401	(pause 0.54)	16.7774
14	DCB_se2_ag2_f_01	16.7774	retired	17.4155
15	DCB_int_01	17.9654	[Hillcrest? Where's] Hillcrest?	19.2793
16	DCB_se2_ag2_f_01	18.2215	[people.]	18.6412
17	DCB_se2_ag2_f_01	19.4598	It's off of Alabama Avenue	21.2775
18	DCB_int_01	21.7047	Mm.	22.1706
19	DCB_se2_ag2_f_01	22.9682	And it's all houses. It's right before the borderline of Maryland.	26.3769
20	DCB_int_01	27.0223	I know where you're talking about now.	27.9081
21	DCB_se2_ag2_f_01	27.9291	Mm-hm.	28.5210
22	DCB_int_01	29.4319	Have you lived anywhere else?	30.4898
23	DCB_se2_ag2_f_01	31.0817	Now I do. I live in Northeast now.	32.9235
24	DCB_int_01	35.3121	And where'd you go to school?	36.4497
25	DCB_se2_ag2_f_01	36.9157	/RD-SCHOOL-3/	37.4933
26	DCB_se2_ag2_f_01	37.4933	(pause 0.16)	37.6577
27	DCB_se2_ag2_f_01	37.6577	[/RD-SCHOOL-4/.]	38.3965
28	DCB_int_01	37.7290	[/RD-SCHOOL-3/]	38.9128
29	DCB_se2_ag2_f_01	38.9170	Mm-hm (laughing).	39.2780
